date,neo_id,name,estimated_diameter_m_min,estimated_diameter_m_max,is_potentially_hazardous,close_approach_date,rel_velocity_km_h,miss_distance_km
2025-10-03,54201807,(2021 SY3),10.582,23.661,False,2025-Oct-03 23:05,21345.843187419,7782741.82159392
2025-10-03,54212590,(2021 UJ1),14.406,32.214,False,2025-Oct-03 18:11,79654.1300445942,66740907.725807328
2025-10-03,54265626,(2022 FL1),3.772,8.434,False,2025-Oct-03 09:08,27654.4677872768,71679427.628638257
2025-10-03,54300842,(2022 QG41),107.784,241.013,False,2025-Oct-03 16:41,43035.1649646077,16201986.272634791
2025-10-03,54309253,(2022 SK21),20.163,45.086,False,2025-Oct-03 03:16,8555.3985780294,21283967.780194912
2025-10-03,54324411,(2022 VV),48.591,108.653,False,2025-Oct-03 13:30,32663.0152267157,30486923.428302029
2025-10-03,54383301,(2023 RV12),15.295,34.201,False,2025-Oct-03 12:57,48954.251541506,28643357.009475281
2025-10-03,54385247,(2023 SV1),39.678,88.724,False,2025-Oct-03 06:51,114482.5713097996,59952516.85623488
2025-10-03,54417174,(2023 XJ16),275.775,616.652,False,2025-Oct-03 13:04,94240.9067697022,71944436.919310756
2025-10-03,54486931,(2024 TW),4.311,9.639,False,2025-Oct-03 03:41,42606.6251980061,7983747.398922211
2025-10-03,54542743,(2025 QK10),39.862,89.133,False,2025-Oct-03 16:11,42806.2878403661,12572284.43126897
2025-10-03,54544998,(2025 RH2),27.833,62.236,False,2025-Oct-03 20:07,18275.3849365381,7514832.23213637
2025-10-03,54546468,(2025 SV2),29.768,66.564,False,2025-Oct-03 03:53,26219.1999735244,17635842.871379869
2025-10-03,54547367,(2025 SV6),9.695,21.679,False,2025-Oct-03 20:02,17894.2304314285,1792229.695687772
2025-10-03,54549686,(2025 SE29),79.315,177.354,False,2025-Oct-03 21:04,31124.7205554805,4754758.890851574
2025-10-03,54549682,(2025 TC),10.437,23.337,False,2025-Oct-03 06:34,58122.3646234667,85671.453875221
2025-10-03,54550514,(2025 TS),8.994,20.111,False,2025-Oct-03 07:50,32935.8585990453,647814.666864232
2025-10-04,3428698,(2008 TD),22.108,49.436,False,2025-Oct-04 03:35,50892.9445076648,24268337.351831707
2025-10-04,3667048,(2014 GQ17),10.105,22.596,False,2025-Oct-04 11:16,35772.6454614778,49002315.99586324
2025-10-04,3728859,(2015 SZ16),69.913,156.329,False,2025-Oct-04 03:09,39659.4828429509,58516116.899222571
2025-10-04,3799876,(2018 ES3),31.373,70.152,False,2025-Oct-04 16:17,42469.4688588529,40987360.835682459
2025-10-04,3878561,(2019 TS1),37.373,83.568,False,2025-Oct-04 19:07,47305.7747107182,20399348.107480761
2025-10-04,3879165,(2019 TY6),26.095,58.350,False,2025-Oct-04 14:06,54759.2880444692,18340416.855055263
2025-10-04,3991587,(2020 CR2),9.132,20.419,False,2025-Oct-04 18:19,78104.736076315,27751317.357208065
2025-10-04,54154694,(2021 LA1),24.019,53.708,False,2025-Oct-04 09:20,21947.6691018136,30652379.959063711
2025-10-04,54193830,(2021 RF4),51.827,115.888,False,2025-Oct-04 23:52,19872.431023708,56213476.325251979
2025-10-04,54202332,(2021 TD1),16.694,37.328,False,2025-Oct-04 09:12,56578.6114288362,25687173.067806677
2025-10-04,54203006,(2021 SZ4),214.070,478.674,True,2025-Oct-04 02:24,160284.9273779689,71892716.088680768
2025-10-04,54215217,(2021 VO),146.742,328.125,False,2025-Oct-04 19:27,47785.6767653129,57426097.675502276
2025-10-04,54265894,(2022 FF3),7.423,16.597,False,2025-Oct-04 01:37,34392.7048768024,46320602.018884444
2025-10-04,54352299,(2023 FL4),25.737,57.549,False,2025-Oct-04 14:34,54094.6609941974,74202950.923722975
2025-10-04,54390823,(2023 TT),40.790,91.209,False,2025-Oct-04 07:04,61545.6338194818,25814258.373224413
2025-10-04,54392067,(2023 TM3),10.878,24.324,False,2025-Oct-04 23:49,77038.0005845218,45856607.814193105
2025-10-04,54546621,(2025 SS3),47.770,106.817,False,2025-Oct-04 21:43,46786.4448533122,9826487.424155292
2025-10-04,54549112,(2025 SG22),47.946,107.211,False,2025-Oct-04 02:53,54772.8034093934,15191996.942715212
2025-10-04,54549680,(2025 SZ27),24.308,54.355,False,2025-Oct-04 04:29,59089.6782394722,1180837.188398617
